AMS	Den Arnamagnæanske Samling, Copenhagen
DKB	Det Kongelige Bibliotek, Copenhagen
GKS	Det Kongelige Bibliotek, Copenhagen
NKS	Det Kongelige Bibliotek, Copenhagen
NRA	National Archives of Norway
NB	National Library of Norway
KB	National Library of Sweden
LSB	Linköping Diocesan Library
LUB	Lund University Library
UUB	Uppsala University Library
SRA	National Archives of Sweden
SÁM	Árnastofnun, Reykjavík
RHB	Landsbókasafn Íslands - Háskólabókasafn, Reykjavík
JS	Skinnblöð Jóns Sigurðssonar
EUL	Edinburgh University Library, Edinburgh
FyV	Fylkesarkivet i Vestland, Norge
NLS	National Library of Scotland, Edinburgh
UiB UBB	University of Bergen Library